ds,yhat,yhat_lower,yhat_upper,trend,시군구
2015-07-01,0.328810410184579,0.3155501234530657,0.34223119300231725,-0.4067832816579039,동해시
2015-10-01,0.3260666716457815,0.3117959152182625,0.34014139540914545,-0.4035217707168335,동해시
2016-01-01,0.31737591091275347,0.3029955674250835,0.3303242764947513,-0.4002602597757629,동해시
2016-04-01,0.32330522377962795,0.3091476446225397,0.3368625655306373,-0.39703420003931306,동해시
2016-07-01,0.32420486212148214,0.3089197035068857,0.33919975843034444,-0.39380814030286326,동해시
2016-10-01,0.3210093060939846,0.3064468533223731,0.33500671104325414,-0.3905466293613469,동해시
2017-01-01,0.32996550036935446,0.3161415525463963,0.3448507323403991,-0.3872851184198305,동해시
2017-04-01,0.3421953110014907,0.32864277530764613,0.35633977658743826,-0.3840945098911045,동해시
2017-07-01,0.3442967156796539,0.3290217142506282,0.35836341723608356,-0.38086845015650383,동해시
2017-10-01,0.33836764809692593,0.3232139882308941,0.3519652208645646,-0.3776075094451012,동해시
2018-01-01,0.3496194990410475,0.33517175408334987,0.36412934549435794,-0.3743465687336984,동해시
2018-04-01,0.36033675657366393,0.34592325706428667,0.37401085493463626,-0.37115689770197857,동해시
2018-07-01,0.3630964435240646,0.34804252869117686,0.37816640104121424,-0.3679317858810173,동해시
2018-10-01,0.357303960958309,0.34253349599194727,0.37220231975259466,-0.36467470673880104,동해시
2019-01-01,0.3626721438727116,0.34837856811760826,0.37693092911369447,-0.3614176275965848,동해시
2019-04-01,0.37370631681857264,0.35875201365386145,0.38826356384671856,-0.36219589889686304,동해시
2019-07-01,0.37261087418636024,0.35894925397496064,0.38714066316363105,-0.3629828176560332,동해시
2019-10-01,0.3658077432368869,0.3521515799816209,0.37970599447905395,-0.36378069912519695,동해시
2020-01-01,0.3530575900939678,0.339473898113322,0.36767556147590824,-0.3645785805943607,동해시
2020-04-01,0.35497163438086154,0.3405305766062024,0.36905174638568605,-0.3653677894388596,동해시
2020-07-01,0.351854922733029,0.3371263672329715,0.36515887401864666,-0.3661580796914745,동해시
2020-10-01,0.3445988810030279,0.3301055133166063,0.3584030736815015,-0.3669570544523599,동해시
2021-01-01,0.3494942162269182,0.3340513555406935,0.3643366220161974,-0.3677564025623859,동해시
2021-04-01,0.3577514473527106,0.34376374583386754,0.37263593048094995,-0.3685383735395853,동해시
2021-07-01,0.3558357013726969,0.34076498365161345,0.3705504931291852,-0.3693294644631738,동해시
2021-10-01,0.34584590884868055,0.3306931118972441,0.36057138170021275,-0.3701292486936148,동해시
2022-01-01,0.3530366857947758,0.3389027665006359,0.367578663563949,-0.3709293819799416,동해시
2022-04-01,0.3597815332115418,0.34554569432041543,0.3754004745387139,-0.37171212106439167,동해시
2022-07-01,0.35852456043852876,0.34449774441356884,0.3727773795089649,-0.37250366896649023,동해시
2022-10-01,0.3486747524998816,0.33380545678592666,0.36246662001027524,-0.37330391519718326,동해시
2023-01-01,0.3499856100417595,0.33588163401091264,0.3643341892421793,-0.3741041614278762,동해시
2023-04-01,0.36101520471422305,0.34619865138343664,0.3751864508951637,-0.3748870110013803,동해시
2023-07-01,0.35991513293922034,0.34609550846965215,0.3739246560957348,-0.37567855890347884,동해시
2023-10-01,0.35310963722848443,0.3391286895664578,0.3669904504030031,-0.37647880513417187,동해시
2024-01-01,0.3403571193234265,0.32609662702789094,0.35402042714881893,-0.37727905136486484,동해시
2024-04-01,0.3422688245523571,0.3284187384958965,0.35658989193936486,-0.3780705992669634,동해시
2024-07-01,0.33915085525513583,0.3250972493934096,0.35282886320249923,-0.3788621471690619,동해시
2024-10-01,0.33189354205590693,0.31750771097945046,0.3463534431694317,-0.37966239339975494,동해시
2025-01-01,0.33678797915877123,0.32220510542432695,0.35122174316320326,-0.3804626396304479,동해시
2025-04-01,0.345044331688442,0.3311385365952795,0.35873896934069616,-0.381245489203952,동해시
2025-07-01,0.34312812872994625,0.32888202787638265,0.35753633006825625,-0.3820370371060505,동해시
2025-10-01,0.3331378742054309,0.3193430649042081,0.3478541416678818,-0.38283728333674355,동해시
2026-01-01,0.3403285382075785,0.3250671077080615,0.3549665987740001,-0.3836375295674365,동해시
2026-04-01,0.34707327513510966,0.3322858125712325,0.3612497633576519,-0.3844203791409406,동해시
2026-07-01,0.345816302362384,0.33126817804285047,0.35967581461689757,-0.38521192704303914,동해시
2026-10-01,0.33596649442333415,0.32110612236168323,0.3499894422621564,-0.38601217327373216,동해시
2027-01-01,0.3372773519648842,0.323822900014991,0.35236462959719134,-0.38681241950442513,동해시
2027-04-01,0.34830694663744705,0.33313391980633356,0.3624361156334751,-0.38759526907792924,동해시
2027-07-01,0.34720687486252044,0.33262836360621245,0.3616076600652468,-0.38838681698002775,동해시
2027-10-01,0.3404013791516434,0.32576028520447897,0.35493946862432757,-0.3891870632107208,동해시
2028-01-01,0.32764886124703446,0.31359077342678177,0.3429301333672657,-0.38998730944141374,동해시
2028-04-01,0.3295605664755327,0.313827670454758,0.3446443510604004,-0.3907788573435123,동해시
2028-07-01,0.32644259717880314,0.31300634886905204,0.34150704122651093,-0.3915704052456109,동해시
2028-10-01,0.3191852839794185,0.3040142089782821,0.33525632280782386,-0.3923706514763039,동해시
2009-01-01,0.2574254012110021,0.22679096001905252,0.2857371049860147,0.4630141708782182,속초시
2009-04-01,0.2724111673687296,0.24327640517063567,0.3059625929569618,0.4675134417551763,속초시
2009-07-01,0.2751331375212642,0.2445243069252477,0.3058750545208214,0.4720627045307671,속초시
2009-10-01,0.27887447790998154,0.24795208414611866,0.3068194398339185,0.4766619592038795,속초시
2010-01-01,0.27282865565720527,0.2422791058442623,0.30356203711605795,0.4812612138769919,속초시
2010-04-01,0.28178323882656375,0.2495928128889021,0.312554073219975,0.4857604847511234,속초시
2010-07-01,0.2872344230829752,0.25310595976459843,0.3170435706336423,0.49030974752385637,속초시
2010-10-01,0.29066247603092477,0.2590495324121624,0.3189404391145858,0.49490900219298944,속초시
2011-01-01,0.2917990308833055,0.26344482359958404,0.3229713834036556,0.49950825686212263,속초시
2011-04-01,0.29313985972861034,0.2624572713451416,0.3214866665200073,0.5040075275460661,속초시
2011-07-01,0.2978793580489853,0.26624263586838504,0.329849630864434,0.5085567901264979,속초시
2011-10-01,0.30323691283488097,0.2745946116885454,0.33440303097075114,0.5131560446034179,속초시
2012-01-01,0.3143178809944951,0.28233113005281013,0.34508587590783235,0.51775144663599,속초시
2012-04-01,0.3380057477133428,0.30772889782208745,0.369680872625347,0.5222968986464688,속초시
2012-07-01,0.3345952320759852,0.30247447574448116,0.36592015679565865,0.5268418464818679,속초시
2012-10-01,0.3409120028872229,0.3102917982039798,0.37179306127997025,0.5314367387989747,속초시
2013-01-01,0.3304410522705924,0.2996236744211587,0.3610050702449684,0.5360298219377283,속초시
2013-04-01,0.34542078105670604,0.31523234020230995,0.3746189316050597,0.5405230554430307,속초시
2013-07-01,0.34813421693612423,0.3212048174673214,0.38027540891136796,0.545063783945335,속초시
2013-10-01,0.3518669292696701,0.32166882732312246,0.3852194182581509,0.5496544105630492,속초시
2014-01-01,0.3458094720672854,0.3155904157079336,0.37834341720676734,0.5542420302869739,속초시
2014-04-01,0.3547526732217199,0.3263672342809982,0.3831472625626416,0.5587299191473349,속초시
2014-07-01,0.3564386175427534,0.32522136831333076,0.3861751215913875,0.5595139419838904,속초시
2014-10-01,0.35606005429387755,0.3254667267691041,0.3869116467982465,0.5603065804560123,속초시
2015-01-01,0.3533840345688598,0.3220128662039224,0.383323881020277,0.561093260547647,속초시
2015-04-01,0.35099517108110084,0.32164442859064957,0.38330883806319116,0.561862838898159,속초시
2015-07-01,0.35195929098765766,0.3226716452550541,0.382750400025398,0.5626367230649691,속초시
2015-10-01,0.3534999796843742,0.3250947101248317,0.38464477993684415,0.5634191114533925,속초시
2016-01-01,0.36076793420025166,0.3279171073225173,0.3898874466424478,0.5642014998418157,속초시
2016-04-01,0.3806842254365628,0.3499692365022146,0.41147568798534023,0.5649753763696932,속초시
2016-07-01,0.3735026384915421,0.3441357969655341,0.4032975565469208,0.5657492528975707,속초시
2016-10-01,0.37600689764957546,0.3440943326415259,0.40765032538058443,0.566531633561039,속초시
2017-01-01,0.3617252445573351,0.3302090040046899,0.3931806612726247,0.5673140142245073,속초시
2017-04-01,0.3729771114944713,0.3417962702329341,0.4015759615781246,0.5680793858804609,속초시
2017-07-01,0.3719236946566572,0.3412333669111871,0.403260006478573,0.568853261665925,속초시
2017-10-01,0.3718481602849374,0.33957648725827455,0.4034621441363279,0.569635641578591,속초시
2018-01-01,0.36198546327152414,0.33170101211448083,0.39407036881770485,0.5704180214912572,속초시
2018-04-01,0.36720614721857525,0.33496759074369253,0.39584600950451204,0.5711833931438733,속초시
2018-07-01,0.368881944484886,0.33733501252615117,0.4018520473616637,0.5719572689259631,속초시
2018-10-01,0.368493122675541,0.3393101775665211,0.4013575294625392,0.5727396488372765,속초시
2019-01-01,0.3658128027699661,0.33321450178950174,0.3971771799239989,0.5735220287485897,속초시
2019-04-01,0.36342287612239527,0.33237612402017297,0.39409851057786305,0.5742905439396717,속초시
2019-07-01,0.3643901661112087,0.3336757863577997,0.39447951933615477,0.5750675981884326,속초시
2019-10-01,0.3659391036893985,0.3352513328373478,0.39703673678729273,0.5758582354579269,속초시
2020-01-01,0.3732153070859431,0.34175221905697034,0.40473294529289594,0.5766488727274214,속초시
2020-04-01,0.3931397651796803,0.3631559836749609,0.4227535397212072,0.5774309161135519,속초시
2020-07-01,0.3859740138378528,0.35722349593629804,0.41503276591865523,0.5782206282439329,속초시
2020-10-01,0.3884942826180228,0.35679094453440136,0.4162061390258531,0.5790190185295928,속초시
2021-01-01,0.3742347834403619,0.3443426061014896,0.4067798983807148,0.5798235531074581,속초시
2021-04-01,0.3855083234175062,0.35326902976170427,0.4167090292607068,0.580610597803196,속초시
2021-07-01,0.3844804387081955,0.35238110190903954,0.41594285409818665,0.5814100057173235,속초시
2021-10-01,0.3844307170399115,0.35469107493971913,0.4146626913980156,0.582218198333804,속초시
2022-01-01,0.3745947416464839,0.3442091650173561,0.40350219249057256,0.5830272998661803,속초시
2022-04-01,0.3798415663092083,0.34894589824388866,0.41096512422537185,0.5838188122348092,속초시
2022-07-01,0.38154674095082725,0.3513399003185655,0.4106005422031389,0.5846220653918689,속초시
2022-10-01,0.3811876193450092,0.3531056717186753,0.4118962542775418,0.5854341455066985,속초시
2023-01-01,0.37853699964268184,0.3472643664960713,0.4084080496797807,0.5862462256215281,속초시
2023-04-01,0.3761729840033728,0.3444539583155868,0.4053578991238327,0.5870406518208179,속초시
2023-07-01,0.37716647290045374,0.34837281436730994,0.40899624535643164,0.5878439049778775,속초시
2023-10-01,0.3787368533236095,0.3483156380717431,0.40884438749172947,0.5886559850927072,속초시
2024-01-01,0.38603449956603897,0.3567444374244428,0.4163144546578318,0.5894680652075368,속초시
2024-04-01,0.4059801674311184,0.3754432377641878,0.438585021640414,0.5902713183645965,속초시
2024-07-01,0.3988279571157035,0.3692633523379245,0.42900485688157386,0.5910745715216561,속초시
2024-10-01,0.4013619157247022,0.3704173182908781,0.4318759109003729,0.5918866516364857,속초시
2025-01-01,0.3871099620841287,0.35538653123692593,0.4180248630011061,0.5926987317513153,속초시
2025-04-01,0.3983908835648217,0.3683359873677135,0.43190513246880113,0.5934931579506051,속초시
2025-07-01,0.39736684409849066,0.36493680932291495,0.429243553834781,0.5942964111076648,속초시
2025-10-01,0.3973210099286981,0.365502974663765,0.42634152357926014,0.5951084912224943,속초시
2026-01-01,0.38748801311744924,0.3582496764888516,0.4197977170160858,0.5959205713373239,속초시
2026-04-01,0.3927377516109257,0.36312322019408316,0.4256785909761681,0.5967149975366137,속초시
2026-07-01,0.3944429262524329,0.3646845554020525,0.42600449263429513,0.5975182506936734,속초시
2026-10-01,0.3940838046468037,0.36294589272518546,0.42607443467977746,0.598330330808503,속초시
2027-01-01,0.39143318494466967,0.35923587945365865,0.42255152867087564,0.5991424109233326,속초시
2027-04-01,0.38906916930539814,0.35881477320460003,0.4185354976015299,0.5999368371226224,속초시
2027-07-01,0.39006265820232844,0.35766474308190815,0.41915491436330754,0.600740090279682,속초시
2027-10-01,0.39163303862568805,0.3621239104960313,0.42273010681021045,0.6015521703945116,속초시
2028-01-01,0.39893068486780375,0.36712373631593886,0.4306878391353039,0.6023642505093413,속초시
2028-04-01,0.41887635273316703,0.38798645265368503,0.45077115476175866,0.6031675036664009,속초시
2028-07-01,0.41172414241737065,0.38241852410740285,0.4421630296518352,0.6039707568234606,속초시
2028-10-01,0.41425810102651284,0.38232445403564363,0.4470508841590594,0.6047828369382902,속초시
2009-01-01,0.18436007096730406,0.15664827105748114,0.21173131078114002,-0.3051520304038233,태백시
2009-04-01,0.17887883898642754,0.15110011546114752,0.20772987455518507,-0.3044469819143315,태백시
2009-07-01,0.1972597581665393,0.16935373244611765,0.22730249144827988,-0.3037340995527341,태백시
2009-10-01,0.19449073618467988,0.16587892624261,0.22168446687378454,-0.30301338331871774,태백시
2010-01-01,0.1932199978725444,0.16705081509721928,0.22140599403754233,-0.30229266708470126,태백시
2010-04-01,0.19657677812388175,0.16889206579491053,0.22250419262000715,-0.30158761859484,태백시
2010-07-01,0.19881487359734473,0.1707648125736179,0.22905340400747948,-0.3008747362328692,태백시
2010-10-01,0.19645722088788675,0.16870072433769812,0.223503848645036,-0.3001540199986968,태백시
2011-01-01,0.20057917698899047,0.17149234875234967,0.23133386574453563,-0.2994333037645243,태백시
2011-04-01,0.21308687711810032,0.184193432667129,0.24178863341176393,-0.29872825527428576,태백시
2011-07-01,0.19786074246629498,0.17047832973660085,0.22286123780440156,-0.2980153729119333,태백시
2011-10-01,0.19896243273976627,0.17330204537924673,0.22705731710009966,-0.2972946566774672,태백시
2012-01-01,0.2064427669040188,0.17978236054691757,0.23486611790978945,-0.29657394044309865,태백시
2012-04-01,0.1714484111447167,0.14503535464642886,0.2009214293233633,-0.2958610580808428,태백시
2012-07-01,0.20464751308690676,0.17720987041778985,0.23148637168295427,-0.2951481757182718,태백시
2012-10-01,0.2045155759183408,0.1791754469070039,0.23358469488511888,-0.2944274594835846,태백시
2013-01-01,0.19580535812188243,0.1669861886409354,0.22375158994636343,-0.29370674324921364,태백시
2013-04-01,0.19032412614165267,0.16213162595406255,0.21923218350261686,-0.2930016947590682,태백시
2013-07-01,0.20870504532260264,0.18244083320923218,0.23686797396048917,-0.29228881239642573,태백시
2013-10-01,0.20593602334183397,0.17976867876159194,0.23144270707968373,-0.2915680961616664,태백시
2014-01-01,0.20466528503038978,0.17606225109443982,0.2324304738362454,-0.29084737992680815,태백시
2014-04-01,0.20802206528218825,0.18090988010388892,0.2334050268858353,-0.29014233143618595,태백시
2014-07-01,0.21026016075974696,0.18303716122165775,0.23768630956821282,-0.28942944907074736,태백시
2014-10-01,0.20790250805339366,0.1806433716878979,0.23525293217682328,-0.2887087328331611,태백시
2015-01-01,0.21202609556880614,0.18487363774418303,0.23712137048481366,-0.2879863851847263,태백시
2015-04-01,0.2245353916465287,0.19715802365122018,0.25157881563514317,-0.28727974074604,태백시
