시군구,날짜,전문의수,고령인구비율,세이상인구,전체인구,공급_raw,수요_raw,접근성_raw,공급지수,수요지수,접근성지수,AMAI_raw,AMAI
평창군,2013-04-01,7,21.07,9167.0,43519.33,0.16084806452672867,0.7636085960510527,0.35,0.15151266621432694,0.13622719697078473,0.35,0.21063374974657328,0.13640761325649395
평창군,2013-07-01,7,21.2,9250.33,43656.0,0.16034451163643026,0.756729759911268,0.35,0.1509151951636708,0.13481502176326043,0.35,0.20993632583542488,0.13559679314231057
평창군,2013-10-01,7,21.3,9301.67,43676.33,0.16026987615488755,0.7525530361752245,0.35,0.15082663934275767,0.13395757064960395,0.35,0.20959862503814897,0.13520418458010028
평창군,2014-01-01,8,21.47,9373.67,43690.33,0.18310687971457298,0.8534544100656413,0.35,0.17792299560149683,0.15467189146167745,0.35,0.2255623140534532,0.15376345670035657
평창군,2014-04-01,9,21.67,9472.0,43741.33,0.20575506048855852,0.950168918918919,0.35,0.20479531154523933,0.1745266792244751,0.35,0.24114517571691807,0.17187998163060886
평창군,2014-07-01,9,21.8,9538.67,43772.33,0.20560934270576867,0.9435277664496203,0.35,0.20462241579096982,0.1731632987519718,0.35,0.24059818241864717,0.17124405108467844
평창군,2014-10-01,10,21.8,9533.0,43691.67,0.22887657990642155,1.048987726843596,0.35,0.23222924900346872,0.19481346433645508,0.35,0.2570598739762274,0.19038229744389784
평창군,2015-01-01,10,21.9,9550.33,43608.33,0.2293139865709143,1.0470842368797726,0.35,0.23274823682864756,0.19442269164176387,0.35,0.2570809109351234,0.19040675486375608
평창군,2015-04-01,11,21.97,9589.33,43597.67,0.25230706136360037,1.1471082964086123,0.35,0.26002977332436805,0.21495690617343644,0.35,0.273037400619598,0.20895765709282854
평창군,2015-07-01,11,22.1,9644.33,43617.33,0.2521933369144787,1.1405665297641205,0.35,0.2598948380128822,0.2136139288905018,0.35,0.2725096563525237,0.2083441053346386
평창군,2015-10-01,11,22.23,9678.67,43535.33,0.25266835005040733,1.1365197904257507,0.35,0.2604584463306312,0.21278316263167096,0.35,0.27238557273856284,0.20819984660127455
평창군,2016-01-01,10,22.5,9747.0,43346.67,0.23069822895276618,1.0259567046270648,0.35,0.23439065566127046,0.190085362384728,0.35,0.2560264653901924,0.18918086391927547
평창군,2016-04-01,8,22.63,9793.0,43260.0,0.1849283402681461,0.8169100377820893,0.35,0.18008417861054907,0.14716959667449775,0.35,0.2235258493525497,0.1513958772197534
평창군,2016-07-01,8,22.7,9821.67,43320.33,0.18467080006084904,0.81452543202938,0.35,0.17977860431794837,0.14668005439506773,0.35,0.22325328866534117,0.15107900008951503
평창군,2016-10-01,8,22.7,9829.0,43309.0,0.1847191115010737,0.8139179977617255,0.35,0.17983592637389492,0.14655535254208693,0.35,0.2232261316824518,0.15104742757297918
평창군,2017-01-01,8,23.07,9964.67,43216.33,0.18511520992180502,0.8028364210756603,0.35,0.1803059015128666,0.14428038515831232,0.35,0.22255062473877968,0.15026208797041524
평창군,2017-04-01,8,23.53,10149.0,43119.0,0.18553305967207032,0.7882550004926594,0.35,0.1808016848439075,0.14128692518639868,0.35,0.2216234245385209,0.1491841315650968
평창군,2017-07-01,8,23.9,10291.67,43101.67,0.1856076574295149,0.7773276834566207,0.35,0.18089019590476269,0.1390436261908313,0.35,0.22084006112458598,0.14827339879184287
평창군,2017-10-01,9,24.07,10371.0,43101.0,0.20881186051367717,0.8678044547295343,0.35,0.2084222384437645,0.15761785163421474,0.35,0.23616628093076766,0.1660915537111159
평창군,2018-01-01,9,24.3,10435.33,42916.67,0.20970872157602163,0.8624547570608692,0.35,0.20948637397259443,0.15651959747291183,0.35,0.23610203315576556,0.16601685970158953
평창군,2018-04-01,9,24.53,10512.67,42821.33,0.2101756297620835,0.8561098179625157,0.35,0.21004036567805565,0.1552170274587602,0.35,0.235804365176999,0.16567079301148302
평창군,2018-07-01,9,24.73,10584.0,42771.0,0.2104229501297608,0.8503401360544218,0.35,0.21033381401838244,0.15403255357679232,0.35,0.2354679068647309,0.1652796289535689
평창군,2018-10-01,9,24.97,10643.0,42655.0,0.21099519399835892,0.8456262332049234,0.35,0.2110127876713789,0.15306482348416242,0.35,0.2353303865466383,0.16511974880286578
평창군,2019-01-01,9,25.4,10811.0,42543.67,0.21154733477389234,0.8324854315049487,0.35,0.2116679087830313,0.15036711212854956,0.35,0.23455994593210466,0.16422403998494034
평창군,2019-04-01,8,25.829999999999995,10957.0,42400.33,0.18867777680032205,0.7301268595418453,0.35,0.18453292635365143,0.12935363911268993,0.35,0.21847602030427168,0.14552498162801913
평창군,2019-07-01,8,26.2,11076.33,42305.67,0.18909994806842675,0.7222608932742163,0.35,0.18503383721320757,0.12773881324380162,0.35,0.21804885738367696,0.14502836503298266
평창군,2019-10-01,9,26.43,11160.33,42187.33,0.21333419299111842,0.8064277669208706,0.35,0.21378803573888486,0.1450176624333035,0.35,0.2332889837238013,0.1627464282965737
평창군,2020-01-01,8,27.03,11340.67,41911.33,0.19087917276784105,0.7054256935436796,0.35,0.18714490691609909,0.12428266874637978,0.35,0.21745957107278463,0.14434326492923427
평창군,2020-04-01,8,27.6,11531.33,41758.67,0.19157698269604853,0.6937621245771303,0.35,0.18797286608185296,0.12188822256520845,0.35,0.2168528299099889,0.14363787193792182
평창군,2020-07-01,8,28.0,11685.33,41719.0,0.19175915050696324,0.684619090774501,0.35,0.18818901019596665,0.12001122398648759,0.35,0.21624181758942168,0.14292751332874543
평창군,2020-10-01,9,28.3,11791.67,41684.67,0.21590671102829892,0.7632506676323201,0.35,0.21684035672466115,0.13615371686038072,0.35,0.23103893605197728,0.1601305387622125
평창군,2021-01-01,9,28.7,11899.67,41437.67,0.2171936790847555,0.7563234946851467,0.35,0.21836735849878727,0.13473161845660372,0.35,0.23100237018835248,0.16008802754737522
평창군,2021-04-01,9,29.1,11976.0,41153.67,0.2186925248708074,0.751503006012024,0.35,0.22014575553277768,0.13374200706682746,0.35,0.23120079223750784,0.16031871162054923
평창군,2021-07-01,8,29.6,12131.33,41027.0,0.1949935408389597,0.6594495409819039,0.35,0.1920266499496474,0.11484409782162938,0.35,0.21557393865084823,0.1421510419910434
평창군,2021-10-01,8,29.9,12261.67,41008.33,0.19508231620258615,0.652439675835347,0.35,0.19213198289639477,0.11340502330860192,0.35,0.21508659703572955,0.1415844620707103
평창군,2022-01-01,8,30.23,12435.0,41139.33,0.19446111543381966,0.6433453960595095,0.35,0.19139492134211916,0.11153803357825354,0.35,0.21418108071083336,0.1405317151857659
평창군,2022-04-01,9,30.57,12576.33,41127.67,0.21883077743037718,0.7156300765008552,0.35,0.22030979371747186,0.12637755461477,0.35,0.228589540421769,0.15728288869914614
평창군,2022-07-01,9,30.97,12721.33,41099.33,0.2189816719639955,0.7074731965918658,0.35,0.22048883174361797,0.12470300628360587,0.35,0.22804011706851973,0.15664413298845792
평창군,2022-10-01,10,31.4,12853.0,40984.0,0.24399765762248682,0.7780284758422158,0.35,0.25017057426270206,0.1391874937888448,0.35,0.24256006209100145,0.17352491853777874
평창군,2023-01-01,10,31.829999999999995,13004.67,40849.67,0.24480001919232153,0.7689545371009029,0.35,0.25112258510281693,0.13732467992546973,0.35,0.24218432627997932,0.17308809073717452
평창군,2023-04-01,10,32.3,13148.0,40725.0,0.24554941682013504,0.76057195010648,0.35,0.2520117536423593,0.13560379556539978,0.35,0.2418402494642108,0.1726880694608895
평창군,2023-07-01,10,32.67,13298.0,40693.0,0.2457425109969774,0.7519927808693037,0.35,0.2522408620099931,0.13384255429555397,0.35,0.2412751429013435,0.1720310805614476
평창군,2023-10-01,10,33.03,13435.329999999998,40661.67,0.24593185670927928,0.7443062433151997,0.35,0.2524655227831628,0.13226456384120513,0.35,0.24077489811446762,0.17144949950474647
